name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types
Thai Express,"Adolf-Kolping-Straße 4, 55116 Mainz, Deutschland",06131 6028888,http://thaiexpress-food.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=b993f621-4d05-4aee-8dc6-815a0352e6a5,True,0,nicht erreichbar,Dringend neues Design,"thai_restaurant,asian_restaurant,meal_takeaway,japanese_restaurant,restaurant,point_of_interest,food,establishment"
Restaurant Brauhaus zur Sonne - Mainz,"Sonnengäßchen 2, 55116 Mainz, Deutschland",06131 231610,http://brauhauszursonne.de/,True,20,kein HTTPS; kein Mobile-Viewport; HTML4/XHTML; Frames,Dringend neues Design,"restaurant,food,point_of_interest,establishment"
Ristorante Midi,"Mitternachtsgasse 3, 55116 Mainz, Deutschland",06131 235800,http://www.bistrorante-midi.de/,True,20,kein HTTPS; kein Mobile-Viewport; <center>-Tags; Tabellen-Layout; keine Media Queries,Dringend neues Design,"italian_restaurant,pizza_restaurant,bistro,meal_takeaway,restaurant,food,point_of_interest,establishment"
Café B20,"Betzelsstraße 20-24, 55116 Mainz, Deutschland",06131 2122019,http://www.b20.cafe/,True,28,kein HTTPS; <font>-Tags; <center>-Tags; alte jQuery; keine Media Queries; Copyright bis 2016,Redesign empfohlen,"cafe,coffee_shop,breakfast_restaurant,food_store,store,restaurant,food,point_of_interest,establishment"
Hiro Sushi Vietnam finest asian kitchen,"Binger Str. 11, 55116 Mainz, Deutschland",06131 8893835,http://hirosushi-mainz.de/wp-content/uploads/2025/11/Hiro_Karte_191025.pdf,True,43,kein HTTPS; kein Mobile-Viewport; keine Media Queries,Redesign empfohlen,"asian_restaurant,sushi_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Buddhas MAINZ,"Adolf-Kolping-Straße 4, 55116 Mainz, Deutschland",06131 4820577,http://www.buddhas-mainz.de/,True,47,kein HTTPS; kein Mobile-Viewport; <center>-Tags,Redesign empfohlen,"sushi_restaurant,food_delivery,meal_takeaway,japanese_restaurant,restaurant,point_of_interest,food,establishment"
Weinhaus & Restaurant Hahnenhof,"Wallaustraße 18, 55118 Mainz, Deutschland",06131 2121150,http://hahnenhof-mainz.de/,True,48,kein Mobile-Viewport; HTML4/XHTML; keine Media Queries,Redesign empfohlen,"restaurant,austrian_restaurant,wine_bar,german_restaurant,european_restaurant,bar,food,point_of_interest,establishment"
Baron,"Johann-Joachim-Becher-Weg 3, 55128 Mainz, Deutschland",06131 385850,https://www.baron-mainz.de/,True,48,kein Mobile-Viewport; HTML4/XHTML; Copyright bis 1998,Redesign empfohlen,"restaurant,food,point_of_interest,establishment"
Bistro Quadrifoglio,"Breite Str. 55, 55124 Mainz-Gonsenheim, Deutschland",06131 466211,http://www.bistro-quadrifoglio.de/,True,48,kein Mobile-Viewport; HTML4/XHTML; keine Media Queries,Redesign empfohlen,"italian_restaurant,restaurant,food,point_of_interest,establishment"
Ristorante INCONTRO,"Augustinerstraße 57, 55116 Mainz, Deutschland",06131 238221,http://www.incontro-ristorante.de/,True,48,kein HTTPS; IE-Kompatibilität; keine Media Queries; Copyright bis 1998,Redesign empfohlen,"italian_restaurant,mediterranean_restaurant,restaurant,food,point_of_interest,establishment"
