name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types,final_url,https,viewport,score,probleme,empfehlung,status,fehler
Gusto,"Heidesheimer Str. 1, 55124 Mainz, Deutschland",06131 1449049,http://www.gusto-winebar-mainz.de/,True,82,IE-Kompatibilität; Baukasten ohne Media Queries,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.gusto-winebar-mainz.de/,True,True,82,IE-Kompatibilität; Baukasten ohne Media Queries,OK – ggf. kleine Updates,200,
Pizzeria Kiara,"Welschnonnengasse 1, 55116 Mainz, Deutschland",06131 6192799,http://www.kiara-mainz.de/,True,82,IE-Kompatibilität; Baukasten ohne Media Queries,OK – ggf. kleine Updates,"pizza_restaurant,italian_restaurant,restaurant,point_of_interest,food,establishment",https://www.kiara-mainz.de/,True,True,82,IE-Kompatibilität; Baukasten ohne Media Queries,OK – ggf. kleine Updates,200,
Via Monte Mainz,"Rheinstraße 47-49, 55116 Mainz, Deutschland",06131 8942612,https://via-monte.eatbu.com/?lang=de,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://via-monte.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Augustinerkeller,"Augustinerstraße 26, 55116 Mainz, Deutschland",06131 222662,https://augustinerkeller-mainz.eatbu.com/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"german_restaurant,wine_bar,european_restaurant,bar,restaurant,food,point_of_interest,establishment",https://augustinerkeller-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
august,"Leichhof 14, 55116 Mainz, Deutschland",06131 2495379,http://www.august-mainz.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://august.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Moctezuma Mainz,"Rheinstraße 23, 55116 Mainz, Deutschland",06131 234143,https://moctezuma-mainz.eatbu.com/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"mexican_restaurant,restaurant,food,point_of_interest,establishment",https://moctezuma-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Hasekaste Mainz,"Eugen-Salomon-Straße 1, 55128 Mainz, Deutschland",06131 37550483,http://hasekaste.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://hasekaste.geo.io/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Bistro U1,"Bahnhofpl. 2, 55116 Mainz, Deutschland",06131 5542704,https://bistro-u1-mainz.eatbu.com/?lang=de#contact,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"bistro,restaurant,food,point_of_interest,establishment",https://bistro-u1-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
COCO Green Goodies,"Schillerstraße 24, 55116 Mainz, Deutschland",06131 2779699,https://cocogreengoodies.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"salad_shop,restaurant,food,point_of_interest,establishment",https://cocogreengoodies.de:443/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Da Marcello,"Hans-Böckler-Straße 8a, 55128 Mainz, Deutschland",06131 35798,https://da-marcello-mainz.eatbu.com/?lang=de,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,chocolate_shop,vegan_restaurant,vegetarian_restaurant,ice_cream_shop,candy_store,italian_restaurant,dessert_shop,confectionery,cake_shop,wholesaler,bakery,food_store,store,manufacturer,food,point_of_interest,establishment",https://da-marcello-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Restaurant Mediterraneo,"Am Judensand 3, 55122 Mainz, Deutschland",06131 5703454,http://www.mediterraneo-mainz.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://mediterraneo-mainz.de/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
La Fontana,"Waldthausenstraße 87, 55126 Mainz, Deutschland",06131 472349,https://la-fontana-mainz.eatbu.com/?lang=de,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,point_of_interest,food,establishment",https://la-fontana-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Mr. LE - Vietnamesisches Restaurant,"Fischtorstraße 1, 55116 Mainz, Deutschland",06131 1438345,https://mrle-vietnamrestaurant.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"asian_restaurant,vietnamese_restaurant,sushi_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment",https://d-gastro24.de/order/mrle-vietnamrestaurant,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Kaia Mainz – Modern Asian Dining,"Leibnizstraße 34, 55118 Mainz, Deutschland",06131 5540749,http://www.kaia-mainz.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://www.kaia-mainz.de/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Ba Bao,"Gaustraße 9, 55116 Mainz, Deutschland",06131 4879538,https://babao-mainz.eatbu.com/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment",https://babao-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Mito - Fine Sushi & Asian Cuisine Mainz,"Seppel-Glückert-Passage 14, 55116 Mainz, Deutschland",0173 5741305,https://mito-mainz.eatbu.com/?lang=de,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"sushi_restaurant,vietnamese_restaurant,asian_fusion_restaurant,fusion_restaurant,asian_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment",https://mito-mainz.eatbu.com/?lang=de,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Pizzeria Da Salvo,"Werrastraße 3, 55122 Mainz-Gonsenheim, Deutschland",06131 42995,http://www.pizzeriadasalvo.de/,True,85,HTML4/XHTML Doctype,OK – ggf. kleine Updates,"pizza_restaurant,italian_restaurant,restaurant,food,point_of_interest,establishment",https://pizzeriadasalvo.de/,True,True,85,HTML4/XHTML Doctype,OK – ggf. kleine Updates,200,
La Primavera,"Ob. Kreuzstraße 30, 55120 Mainz, Deutschland",06131 2501110,https://www.la-primavera-mainz.de/,True,85,HTML4/XHTML Doctype,OK – ggf. kleine Updates,"restaurant,italian_restaurant,food,point_of_interest,establishment",https://www.la-primavera-mainz.de/,True,True,85,HTML4/XHTML Doctype,OK – ggf. kleine Updates,200,
Mama Hoa,"Rathausstraße 10, 55128 Mainz, Deutschland",01590 6388999,https://www.mamahoa.de/,True,85,HTML4/XHTML Doctype,OK – ggf. kleine Updates,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment",https://www.mamahoa.de/,True,True,85,HTML4/XHTML Doctype,OK – ggf. kleine Updates,200,
Restaurant JONAS,"Ballpl. 2, 55116 Mainz-Altstadt, Deutschland",06131 2148018,https://restaurant-jonas.de/,True,88,keine Media Queries,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://restaurant-jonas.de/,True,True,88,keine Media Queries,OK – ggf. kleine Updates,403,
L'Osteria Mainz,"Holzhofstraße 7, 55116 Mainz, Deutschland",06131 6937440,https://losteria.net/de/restaurants/restaurant/mainz/,True,88,Copyright bis 1998,OK – ggf. kleine Updates,"italian_restaurant,pizza_restaurant,restaurant,food,point_of_interest,establishment",https://losteria.net/de/restaurants/restaurant/mainz/,True,True,88,Copyright bis 1998,OK – ggf. kleine Updates,200,
Stadtbalkon – Lavagrill & Bar,"Gutenbergpl. 2, 55116 Mainz-Altstadt, Deutschland",06131 6987747,http://www.stadtbalkon-mainz.de/,True,88,keine Media Queries,OK – ggf. kleine Updates,"bar_and_grill,hamburger_restaurant,cocktail_bar,american_restaurant,bar,restaurant,food,point_of_interest,establishment",https://stadtbalkon-mainz.de/,True,True,88,keine Media Queries,OK – ggf. kleine Updates,200,
goldmarie mainz,"Clarissa-Kupferberg-Platz 9, 55118 Mainz, Deutschland",015678 127702,http://www.goldmariemainz.de/,True,88,keine Media Queries,OK – ggf. kleine Updates,"bistro,restaurant,food,point_of_interest,establishment",https://www.goldmariemainz.de/,True,True,88,keine Media Queries,OK – ggf. kleine Updates,200,
Olivenbaum,"Alfred-Mumbächer-Straße 67D, 55128 Mainz, Deutschland",06131 331576,http://zum-olivenbaum.de/,True,88,keine Media Queries,OK – ggf. kleine Updates,"restaurant,point_of_interest,food,establishment",https://zum-olivenbaum.de/,True,True,88,keine Media Queries,OK – ggf. kleine Updates,200,
Palm Bowls Mainz,"Dominikanerstraße 4, 55116 Mainz, Deutschland",06131 5866944,http://palmbowls.de/,True,88,keine Media Queries,OK – ggf. kleine Updates,"restaurant,vegan_restaurant,vegetarian_restaurant,asian_restaurant,fast_food_restaurant,cafe,food,point_of_interest,establishment",https://www.palmbowls.de/,True,True,88,keine Media Queries,OK – ggf. kleine Updates,200,
Mai Anh,"Breite Str. 71, 55124 Mainz-Gonsenheim, Deutschland",06131 43171,https://sites.google.com/view/maianh-restaurant,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"vietnamese_restaurant,thai_restaurant,restaurant,point_of_interest,food,establishment",https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fmaianh-restaurant&dsh=S-1608636011%3A1783498242163852&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fmaianh-restaurant&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AcDsRvxhV9E_epSwW4FhG68GNGMERSLKC438qnBwUIXYOCpE9kGiZtiLDhgdw9kLf2QPnqlaD1hIRg,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Amore Vino Mainz,"Stefanspl. 1, 55116 Mainz, Deutschland",06131 9455117,https://amore-vino.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://amore-vino.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Weinstube „Am Holztor“,"Holzstraße 40, 55116 Mainz, Deutschland",06131 5547700,http://www.amholztor.de/,True,90,<font>-Tags,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://www.amholztor.de/,True,True,90,<font>-Tags,OK – ggf. kleine Updates,200,
Weinhaus Bluhm,"Badergasse 1, 55116 Mainz, Deutschland",06131 4906343,https://weinhaus-bluhm.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,wine_bar,bar,food,point_of_interest,establishment",https://weinhaus-bluhm.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Das Nest Café/Bistro/Afterwork,"Kaiser-Wilhelm-Ring 40, 55118 Mainz, Deutschland",06131 4807119,https://www.das-nest-mainz.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"cafe,bistro,bar,restaurant,food,point_of_interest,establishment",https://www.das-nest-mainz.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Günay’s Café – Mainz,"Mittlere Bleiche 9, 55116 Mainz, Deutschland",0163 8218787,https://guenays-cafe.de/,True,90,alte jQuery (jquery-1.1),OK – ggf. kleine Updates,"cafe,catering_service,bistro,food_delivery,dessert_restaurant,coffee_shop,middle_eastern_restaurant,turkish_restaurant,breakfast_restaurant,bakery,food_store,store,service,restaurant,food,point_of_interest,establishment",https://guenays-cafe.de/,True,True,90,alte jQuery (jquery-1.1),OK – ggf. kleine Updates,200,
Trattoria Da Arnaldo,"Wallstraße 56, 55122 Mainz, Deutschland",06131 320526,https://www.trattoria-da-arnaldo-mainz.de/,True,90,<font>-Tags,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.trattoria-da-arnaldo-mainz.de/,True,True,90,<font>-Tags,OK – ggf. kleine Updates,200,
Oma Else,"Jakobsbergstraße 12, 55116 Mainz, Deutschland",06131 5530476,http://oma-else.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://oma-else.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Bootshaus Mainz,"Victor-Hugo-Ufer 1, 55116 Mainz, Deutschland",06131 1438700,http://www.bootshausmainz.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://bootshausmainz.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Bei Bruno / Restaurant / Catering / Eventlocation,"Wilhelm-Maybach-Strasse, Dekan-Laist-Straße 54, 55129 Mainz-Hechtsheim, Deutschland",06131 5842304,http://www.bei-bruno.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,german_restaurant,european_restaurant,food,point_of_interest,establishment",https://www.bei-bruno.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Restaurant Esszimmer – Gonsberg,"Im Niedergarten 16, 55124 Mainz, Deutschland",,http://www.esszimmer-mainz.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://www.esszimmer-mainz.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
butterfly | brunch & bar. coffee & cocktails.,"Große Langgasse 12, 55116 Mainz, Deutschland",0178 3093871,http://butterflybrunchbar.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"breakfast_restaurant,brunch_restaurant,bar,restaurant,food,point_of_interest,establishment",https://www.butterflybrunchbar.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Eisgrub-Bräu,"Weißliliengasse 1A, 55116 Mainz, Deutschland",06131 221104,https://www.eisgrub.de/,True,90,<font>-Tags,OK – ggf. kleine Updates,"brewery,restaurant,food,manufacturer,service,point_of_interest,establishment",https://www.eisgrub.de/,True,True,90,<font>-Tags,OK – ggf. kleine Updates,200,
schnack,"Mitternacht 18, 55116 Mainz, Deutschland",,http://cafeschnack.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"cafe,food,point_of_interest,establishment",https://cafeschnack.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Retro,"Pfarrstraße 6, 55124 Mainz, Deutschland",06131 1439106,https://retro-gonsenheim.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"bar,point_of_interest,establishment",https://retro-gonsenheim.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Zeytoun - Die Olive,"Kapellenstraße 40, 55124 Mainz, Deutschland",0171 3333828,http://www.zeytoun.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"bistro,middle_eastern_restaurant,turkish_restaurant,falafel_restaurant,restaurant,food,point_of_interest,establishment",https://zeytoun.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Ristorante San Marco,"Am Stiftswingert 4, 55131 Mainz, Deutschland",06131 82962,https://sanmarco-mainz.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://sanmarco-mainz.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
La Oliva Mainz City,"Große Langgasse 6, 55116 Mainz, Deutschland",06131 2106696,https://laoliva.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"meal_takeaway,restaurant,food,point_of_interest,establishment",https://laoliva.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Ristorante Tropea,"Am Kesseltal 8, 55129 Mainz, Deutschland",06136 9536988,http://www.tropea-mainz.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://tropea-mainz.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Osakii Pan Asian Restaurant,"Weberstraße 15, 55130 Mainz, Deutschland",06131 8805599,http://www.osakii-mainz.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"fusion_restaurant,restaurant,food,point_of_interest,establishment",https://osakii-mainz.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
an o ban,"Wallaustraße 4, 55118 Mainz, Deutschland",06131 3296115,http://www.anoban.de/,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,asian_restaurant,cafe,food,point_of_interest,establishment",https://notavailable.goneo.de/,True,True,90,feste Pixel-Breite,OK – ggf. kleine Updates,200,
Beim Peter,"Feldbergstraße 2, 55118 Mainz, Deutschland",06131 9507570,https://de-de.facebook.com/MetzgereiBeimPeter,True,90,alter Generator (iweb),OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://de-de.facebook.com/MetzgereiBeimPeter,True,True,90,alter Generator (iweb),OK – ggf. kleine Updates,200,
Maymay Bistro,"Reiterweg 15, 55129 Mainz, Deutschland",015563 399984,https://www.instagram.com/maymay.ebersheim/,True,90,alter Generator (iweb),OK – ggf. kleine Updates,"asian_restaurant,restaurant,food,point_of_interest,establishment",https://www.instagram.com/maymay.ebersheim/,True,True,90,alter Generator (iweb),OK – ggf. kleine Updates,200,
The Kiwi Corner,"Gartenfeldstraße 10, 55118 Mainz, Deutschland",,https://www.instagram.com/the.kiwi.corner.mainz/,True,90,alter Generator (iweb),OK – ggf. kleine Updates,"cafe,food,point_of_interest,establishment",https://www.instagram.com/the.kiwi.corner.mainz/,True,True,90,alter Generator (iweb),OK – ggf. kleine Updates,200,
Schinderhannes grill mezze,"Holzstraße 15, 55116 Mainz, Deutschland",06131 8891003,https://instagram.com/schinderhannes.de?igshid=YmMyMTA2M2Y=,True,90,alter Generator (iweb),OK – ggf. kleine Updates,"bistro,restaurant,food,point_of_interest,establishment",https://www.instagram.com/schinderhannes.de?igshid=YmMyMTA2M2Y%3D,True,True,90,alter Generator (iweb),OK – ggf. kleine Updates,200,
"Izakaya popup - kitchen, drinks, fusion","Holzhofstraße 5, 55116 Mainz, Deutschland",01512 1269573,https://www.instagram.com/izakaya_mainz/,True,90,alter Generator (iweb),OK – ggf. kleine Updates,"japanese_restaurant,restaurant,food,point_of_interest,establishment",https://www.instagram.com/izakaya_mainz/,True,True,90,alter Generator (iweb),OK – ggf. kleine Updates,200,
102 café & mehr,"Langenbeckstraße 1/Geb 102, 55131 Mainz, Deutschland",06131 2140289,https://www.das102.de/kontakt/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"cafe,food,point_of_interest,establishment",https://www.das102.de/kontakt/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,403,
Di Alessa,"Feldbergstraße 14, 55118 Mainz, Deutschland",06131 9710999,https://di-alessa.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment",https://di-alessa.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,403,
Re Castello | Mainz,"Schottstraße 5, 55116 Mainz, Deutschland",06131 6226089,https://pizzeria-recastello.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,pizza_delivery,meal_delivery,diner,pizza_restaurant,meal_takeaway,food_delivery,restaurant,food,point_of_interest,establishment",https://pizzeria-recastello.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,403,
Pizza Dato,"Neue Mainzer Str. 16, 55129 Mainz-Hechtsheim, Deutschland",06131 504592,https://pizzadato-mainz.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,pizza_delivery,meal_delivery,pizza_restaurant,meal_takeaway,food_delivery,restaurant,food,point_of_interest,establishment",https://pizzadato-mainz.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,403,
Pizzeria Milano - Holzofen Pizza Mainz | Restaurant und Lieferservice,"An d. Philippsschanze 7, 55131 Mainz, Deutschland",06131 9309433,https://pizzeria-milano-mainz.de/delivery?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"pizza_restaurant,pizza_delivery,meal_delivery,european_restaurant,meal_takeaway,italian_restaurant,food_delivery,restaurant,food,point_of_interest,establishment",https://pizzeria-milano-mainz.de/delivery,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,403,
Bobby's Restaurant,"Zaybachstraße 5, 55128 Mainz, Deutschland",06131 4906724,https://www.bobbysrestaurant.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"thai_restaurant,restaurant,point_of_interest,food,establishment",https://www.bobbysrestaurant.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,403,
Aposto Mainz,"Gutenbergpl. 8-10, 55116 Mainz, Deutschland",06131 6931620,https://www.aposto.eu/restaurants/mainz/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.aposto.eu/restaurants/mainz/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Zeitungsente,"Neubrunnenstraße 7, 55116 Mainz, Deutschland",06131 222728,http://www.zeitungsente-mainz.de/,True,92,<center>-Tags,OK – ggf. kleine Updates,"pub,beer_garden,cafe,bar,restaurant,food,point_of_interest,establishment",https://www.zeitungsente-mainz.de/,True,True,92,<center>-Tags,OK – ggf. kleine Updates,200,
SkyBistro 360,"Kaiserstraße 98, 55116 Mainz, Deutschland",015567 269767,https://sites.google.com/view/skybistro360/startseite,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://sites.google.com/view/skybistro360/startseite,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Pizzeria Il Pomodoro,"Steingasse 25, 55116 Mainz, Deutschland",06131 3044054,http://www.ilpomodoro-mainz.com/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"pizza_restaurant,italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.ilpomodoro-mainz.com/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Ânima & Coré,"Gaustraße 73, 55116 Mainz, Deutschland",06131 1433240,https://www.animaundcore.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"pizza_restaurant,restaurant,food,point_of_interest,establishment",https://www.animaundcore.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Restaurant La Galleria,"Steinern Str. 23, 55252 Wiesbaden-Mainz-Kastel, Deutschland",06134 1575,https://www.restaurant-la-galleria.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment",https://www.restaurant-la-galleria.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
MoschMosch Mainz,"Mailandsgasse 3, 55116 Mainz, Deutschland",06131 4807082,http://www.moschmosch.com/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"japanese_restaurant,restaurant,food,point_of_interest,establishment",https://www.moschmosch.com/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Lôc Vegan Kitchen,"Bahnhofstraße 4-6, 55116 Mainz, Deutschland",06131 2139589,http://loc-vegan.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=c444e46e-f46b-48c7-9a9b-1b7373a09c38,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"vegan_restaurant,asian_restaurant,food_delivery,vegetarian_restaurant,sushi_restaurant,meal_takeaway,japanese_restaurant,restaurant,point_of_interest,food,establishment",https://loc-vegan.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Wilma Wunder Mainz am Markt,"Markt 11, 55116 Mainz, Deutschland",06131 5401555,https://www.wilma-wunder.de/restaurants/mainz-am-markt/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://www.wilma-wunder.de/restaurants/mainz-am-markt/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Heiliggeist,"Rentengasse 2, 55116 Mainz, Deutschland",06131 4932170,https://www.heiliggeist.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,bar,food,point_of_interest,establishment",https://www.heiliggeist.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Kamin - Flammkuchen Restaurant,"Kapuzinerstraße 8, 55116 Mainz, Deutschland",06131 6277887,https://www.kamin-mainz.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://www.kamin-mainz.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Patagonia Mainz,"Kaiser-Wilhelm-Ring 74, 55118 Mainz, Deutschland",06131 2106660,http://www.patagonia-mainz.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"steak_house,chilean_restaurant,wine_bar,hamburger_restaurant,meal_takeaway,bar,south_american_restaurant,american_restaurant,restaurant,food,point_of_interest,establishment",https://www.patagonia-mainz.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Wilma Wunder Mainz im Cafe am Ballplatz,"Ballpl. 2, 55116 Mainz, Deutschland",06131 2191949,https://www.wilma-wunder.de/restaurants/mainz-am-ballplatz/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://www.wilma-wunder.de/restaurants/mainz-am-ballplatz/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Zenz Wirtshaus,"Bahnhofpl. 4, 55116 Mainz, Deutschland",06131 5543834,https://www.zenz-wirtshaus.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://www.zenz-wirtshaus.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Cubo Negro,"Karmeliterplatz 4, 55116 Mainz, Deutschland",06131 234361,https://www.cubonegro.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://cubonegro.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
KONA,"Mittlere Bleiche 16, 55116 Mainz, Deutschland",06131 8940875,http://www.kona-mainz.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,asian_restaurant,cafe,chinese_restaurant,japanese_restaurant,bar,food,point_of_interest,establishment",https://www.kona-mainz.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
Misaki - Sushi Grill Bar,"Rheinstraße 4, 55116 Mainz, Deutschland",06131 2117087,http://www.misaki-mainz.de/,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,"sushi_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment",https://www.misaki-mainz.de/,True,True,92,IE-Kompatibilität,OK – ggf. kleine Updates,200,
